OP_CODIGO,OP_AMBITO,OP_NOMBRE,OP_SIGLAS,ANIO
10021.0,PARROQUIAL,LLACTA MUYUNDI,MLM,2009
10022.0,PARROQUIAL,JATUN AMAUTA,JA,2009
10023.0,PARROQUIAL,MOVIMIENTO UNIDAD SALINERA,MUS,2009
10024.0,PARROQUIAL,MOVIMIENTO SOCIAL DEMOCRATA,MSD,2009
10025.0,PARROQUIAL,MOVIMIENTO INDEPENDIENTE ANGOCHAGUA,MIA,2009
10026.0,PARROQUIAL,MOVIMIENTO DESPIERTA SAN ANTONIO,MDSA,2009
10028.0,PARROQUIAL,MOVIMIENTO INDEPENDIENTE LA ESPERANZA,MILE,2009
10029.0,PARROQUIAL,MOVIMIENTO JUVENTUD COMPROMISO Y CAMBIO,MJCC,2009
10030.0,PARROQUIAL,MOVIMIENTO SAN ANTONIO VIVE,MSV,2009
10031.0,PARROQUIAL,MOVIMIENTO REVOLUCION UNIDA ESPERANCENA,MRUE,2009
10032.0,PARROQUIAL,MOVIMIENTO DE UNIDAD PARROQUIAL DE LA CAROLINA,MUPACAR,2009
10033.0,PARROQUIAL,MOVIMIENTO UNIDAD SAN ANTONENSE,MUS,2009
11039.0,PARROQUIAL,MALACATUS TIERRA MIA,MTM,2009
11040.0,PARROQUIAL,FUERZA CIVICA LIBERTARIA,FUCIL,2009
11041.0,PARROQUIAL,MOVIMIENTO UNION POR EL CAMBIO DEMOCRATICO,MUCD,2009
11042.0,PARROQUIAL,MOVIMIENTO DE INTEGRACION RURAL YANGANENSE,MIRY,2009
11043.0,PARROQUIAL,MOVIMIENTO DE INTEGRACION RURAL 12 DE DICIEMBRE,MIR12,2009
11044.0,PARROQUIAL,MOVIMIENTO DE EMIGRANTES ECUATORIANOS,MOVEME,2009
11045.0,PARROQUIAL,MOVIMIENTO DE INTEGRACION RURAL,MIR,2009
13052.0,PARROQUIAL,MOVIMIENTO   RIOCHICO SOBERANO,MRS,2009
13057.0,PARROQUIAL,MOVIMIENTO UNIDOS VENCEREMOS,MUV,2009
14024.0,PARROQUIAL,MOVIMIENTO DE IDENTIDAD PROANENSE,MIPRO,2009
14025.0,PARROQUIAL,MOVIMIENTO ACCION FRONTERIZA INTEGRACION Y DESARROLLO,AFID,2009
14026.0,PARROQUIAL,MOVIMIENTO UNIDAD POPULAR,UP,2009
15029.0,PARROQUIAL,JATARISHUN,MIJ,2009
16018.0,PARROQUIAL,MOVIMIENTO UNIDOS POR PASTAZA,MUP,2009
16020.0,PARROQUIAL,MOVIMIENTO GAY DE DAVILA,MGD,2009
16022.0,PARROQUIAL,MOVIMIENTO NUEVA VIDA,MNV,2009
16034.0,PARROQUIAL,MOVIMIENTO FRENTE INDEPENDIENTE TRIUNFO,MFIT,2009
16036.0,PARROQUIAL,MOVIMIENTO INDEPENDIENTE TRIUNFO UNIDO,MITU,2009
17042.0,PARROQUIAL,MOVIMIENTO PUEBLO NUEVO,MPN,2009
